,Panhandle,Nqoga,Thaoge,Xudum,Boro,Maunachira,Selinda,Mboroga,Khwai
2012-12-01,320,264,0,0,3,117,0,0,0
2013-01-01,347,356,0,0,2,177,0,0,0
2013-02-01,441,387,0,0,2,166,0,0,0
2013-03-01,938,806,0,0,0,151,0,0,0
2013-04-01,1101,1073,0,0,0,208,0,0,0
2013-05-01,1383,1282,0,0,0,240,0,0,0
2013-06-01,1044,1103,0,0,3,249,0,0,0
2013-07-01,692,692,0,0,17,237,0,0,0
2013-08-01,446,448,0,0,23,182,0,0,0
2013-09-01,432,340,0,0,12,124,0,0,0
2013-10-01,395,340,0,0,2,107,0,0,0
2013-11-01,342,266,0,0,0,109,0,0,0
2013-12-01,305,322,0,0,0,165,0,0,0
2014-01-01,315,281,0,0,0,169,0,0,0
2014-02-01,375,363,0,0,0,165,0,0,0
2014-03-01,509,562,0,0,0,249,0,0,0
2014-04-01,988,995,0,0,0,301,0,0,0
2014-05-01,1275,1265,0,0,0,293,0,0,0
2014-06-01,1474,1499,0,0,2,332,0,0,0
2014-07-01,929,1054,0,0,18,333,0,0,0
2014-08-01,562,517,0,0,35,237,0,0,0
2014-09-01,444,411,0,0,29,139,0,0,0
2014-10-01,407,308,0,0,9,108,0,0,0
2014-11-01,351,291,0,0,1,98,0,0,0
2014-12-01,305,245,0,0,0,105,0,0,0
