Inundated surface area [km2]Date,Panhandle,Nqoga-1a,Thaoge,Xudum,Boro,Nqoga-2a,Selinda,Mboroga,Khwai,
2011/05/01,2342,2308,0,17,69,452,0,0,0,
2011/06/01,1972,2191,0,38,109,572,0,0,0,
2011/07/01,1312,1368,0,66,154,474,0,5,0,
2011/08/01,907,956,0,81,177,300,0,24,0,
2011/09/01,697,621,0,76,173,179,0,31,0,
2011/10/01,484,433,0,58,150,117,0,27,0,
2011/11/01,425,342,0,31,112,116,0,14,0,
2011/12/01,391,374,0,9,73,143,0,0,0,
2012/01/01,401,347,0,0,50,150,0,0,0,
2012/02/01,796,727,0,0,34,183,0,0,0,
2012/03/01,1511,1395,0,0,27,241,0,0,0,
2012/04/01,1354,1363,0,0,35,253,0,0,0,
2012/05/01,1581,1482,0,9,50,276,0,0,0,
2012/06/01,1283,1419,0,17,69,329,0,0,0,
2012/07/01,709,722,0,25,90,274,0,0,0,
2012/08/01,604,572,0,27,95,180,0,0,0,
2012/09/01,446,397,0,20,82,139,0,0,0,
2012/10/01,420,334,0,9,59,108,0,0,0,
2012/11/01,374,305,0,0,30,100,0,0,0,
2012/12/01,336,280,0,0,5,117,0,0,0,
2013/01/01,341,350,0,0,2,175,0,0,0,
2013/02/01,430,373,0,0,2,161,0,0,0,
2013/03/01,947,811,0,0,2,149,0,0,0,
2013/04/01,1075,1050,0,0,2,204,0,0,0,
2013/05/01,1352,1244,0,0,4,233,0,0,0,
2013/06/01,1038,1088,0,0,10,242,0,0,0,
2013/07/01,687,634,0,0,21,200,0,0,0,
2013/08/01,449,447,0,2,26,157,0,0,0,
2013/09/01,440,346,0,0,21,129,0,0,0,
2013/10/01,409,351,0,0,8,104,0,0,0,
2013/11/01,358,281,0,0,3,108,0,0,0,
2013/12/01,306,322,0,0,1,163,0,0,0,
2014/01/01,313,277,0,0,1,166,0,0,0,
2014/02/01,372,359,0,0,1,162,0,0,0,
2014/03/01,436,478,0,0,1,229,0,0,0,
2014/04/01,978,948,0,0,2,272,0,0,0,
2014/05/01,1361,1347,0,0,5,290,0,0,0,
2014/06/01,1421,1460,0,0,16,331,0,0,0,
2014/07/01,945,1039,0,3,30,361,0,0,0,
2014/08/01,572,545,0,9,39,224,0,0,0,
2014/09/01,453,405,0,8,36,139,0,0,0,
2014/10/01,420,328,0,0,21,107,0,0,0,
2014/11/01,369,301,0,0,4,98,0,0,0,
2014/12/01,321,259,0,0,1,107,0,0,0,
